tconst,primaryTitle,startYear
tt0104923,Mountain Gorilla,1992
tt0104925,Mozart 1991,1992
tt0105057,"One Banana, Two Bananas",1990
tt0105134,Pets or Meat: The Return to Flint,1992
tt0105248,Return of the Scorcher,1992
tt0105263,Ringenes herskerinde,1992
tt0105644,Tropical Rainforest,1992
tt0105805,When Abortion Was Illegal: Untold Stories,1992
tt0106272,And Still I Rise,1993
tt0106555,Chicks in White Satin,1993
tt0106561,Christinas svampskola,1993
tt0106694,Defending Our Lives,1994
tt0106781,Dummy Doc,1993
tt0106935,Folk Art Found Me,1993
tt0107112,Higher Goals,1993
tt0107194,Imagine,1993
tt0107217,Ins Leere,1993
tt0107264,Jetzt und alle Zeit,1993
tt0107344,The Maize Route,1993
tt0107545,Mein Feind - Bilder einer Ausstellung,1994
tt0107676,A New Window Pane,1997
tt0107708,"Noto, mandorli, Vulcano, Stromboli, carnevale",1992
tt0107837,Playboy Video Centerfold: Playmate of the Year Anna Nicole Smith,1993
tt0107926,Reach for the Sky,1993
tt0108064,Search for the Great Sharks,1995
tt0108190,"Song of Umm Dalaila, the Story of the Sahrawis",1993
tt0108261,Suzana's Smile,1993
tt0108322,"There We Are, John",1994
tt0108491,Life,1993
tt0108524,Way to Succeed,1993
tt0108594,Workteams & the Wizard of Oz,1993
tt0109023,89 mm od Europy,1993
tt0109049,Africa: The Serengeti,1994
tt0109465,Complaints of a Dutiful Daughter,1994
tt0109609,Destiny in Space,1994
tt0109651,Doper,1994
tt0109869,Game Over,1994
tt0109876,Gbanga Tita,1994
tt0110120,In Motion,1994
tt0110135,India dormida,1994
tt0110150,Into the Deep,1994
tt0110466,Margens,1995
tt0110567,Morgen Kinder,1994
tt0110636,Neighbors,1994
tt0110720,Old Warrior,1994
tt0111061,Samernas land,1994
tt0111111,The Secret of Life on Earth,1993
tt0111241,Sons and Daughters,1994
tt0111295,Straight from the Heart,1994
tt0111436,A Time for Justice,1994
tt0111484,The Third Christmas,1994
tt0111696,Which Way Is East,1994
tt0111728,Een Winter in Zuiderwoude,1994
tt0111784,Yampa: The Untamed River,1994
tt0111794,Yellowstone,1994
tt0112280,Grandfather Cheno... and Other Stories,1994
tt0112624,Canaleo,1995
tt0112753,Cuerdas de mi ciudad,1996
tt0112824,"Deadly Embrace: Nicaragua, the World Bank and the International Monetary Fund",1995
tt0112990,Evidence,1995
tt0113473,Jim Dine: A Self-Portrait on the Walls,1995
tt0113597,Landleben,1995
tt0113603,Lapses of Light,1995
tt0113676,The Living Sea,1995
tt0113821,Miguel,1995
tt0113898,My Name Is Kahentiiosta,1995
tt0113902,Mystery of the Maya,1995
tt0113963,Never Give Up: The 20th Century Odyssey of Herbert Zipper,1995
tt0114067,Out of My Mind,1995
tt0114140,Planeta Siqueiros,1995
tt0114161,A Portrait of Arshile,1995
tt0114242,Reconstruction,1995
tt0114291,Roland,1995
tt0114357,Schmetterling im Dunkeln,1995
tt0114405,The Shadow of Hate,1995
tt0114484,So oder anders,1995
tt0114553,Stormchasers,1995
tt0114613,Tangueria,1995
tt0114638,49/95: Tausendjahrekino,1995
tt0115456,Absence Stronger Than Presence,1996
tt0115551,Anonymous Was a Woman,1996
tt0115603,Bomgay,1996
tt0115753,Breathing Lessons: The Life and Work of Mark O'Brien,1996
tt0115952,Cosmic Voyage,1996
tt0116196,Hearst Castle: Building the Dream,1996
tt0116348,The Hidden Dimension,1997
tt0116427,God's Image,1996
tt0116633,Indonesia: Islands on Fire,1996
tt0116701,Jim Northrup: with Reservations,1996
tt0116724,Jules at Eight,1996
tt0116966,The Making of 'The Oz Kids',1996
tt0117232,Of Skin and Metal: Body Piercing,1996
tt0117683,O Sol Ainda Brilha,1996
tt0117709,Special Effects: Anything Can Happen,1996
tt0117834,Tao of the Dumpster,1996
tt0118067,Velorution: One City's Solution to the Automobile,1996
tt0118167,The Wild Bunch: An Album in Montage,1996
tt0118218,Zion Canyon: Treasure of the Gods,1996
tt0118839,Charles Santore Illustrates The Wizard of Oz,1997
tt0119449,Karnevolucija,1997
tt0119595,The Magic of Flight,1996
tt0119671,Mijn vader maakt foto's,1997
tt0119682,Mission to Mir,1997
tt0119949,Das Prinzip Dora,1997
tt0120045,Ruth Orkin: Frames of Life,1996
tt0120248,Survival Island,1996
tt0120496,Whales: An Unforgettable Journey,1997
tt0120661,Everest,1998
tt0121099,Baodao Caifenglu,1992
tt0121102,Beat-Down: The Case of Raymond Alvarez,1994
tt0121134,Campistas,1996
tt0121138,O Caso Big Dan's,1994
tt0121174,D. Carlos,1996
tt0121186,Day of the Dead,1957
